品牌,屏幕尺寸,效能等级,分辨率,电视类型,品牌类型,观看距离,用户优先,产品渠道,覆盖组合个数
不选,不选,不选,不选,不选,不选,不选,不选,不选,84
小米,78英寸及以上,一级效能,8k超高清(7680×4320),OLED,不选,不选,京品电视,线下同款,84
小米,70-75英寸,不选,8k超高清(7680×4320),不选,合资品牌,3.5m以上(70英寸以上),新品电视,线上专供,84
创维,78英寸及以上,二级效能,4k超高清(3840×2160),不选,合资品牌,3m-3.5m(56-65英寸),不选,线下同款,84
Hisense,65英寸,一级效能,不选,不选,合资品牌,2.5m-3m(46-55英寸),京品电视,不选,83
tcl,58-60英寸,一级效能,4k超高清(3840×2160),不选,不选,2m-2.5m(33-45英寸),新品电视,线上专供,83
tcl,55英寸,三级效能,全高清(1920×1080),不选,国产品牌,3.5m以上(70英寸以上),不选,不选,83
不选,78英寸及以上,无效能等级,4k超高清(3840×2160),OLED,互联网品牌,3.5m以上(70英寸以上),新品电视,不选,84
不选,65英寸,三级效能,4k超高清(3840×2160),全面屏,合资品牌,不选,京品电视,线上专供,83
不选,70-75英寸,二级效能,不选,人工智能,国产品牌,3.5m以上(70英寸以上),京品电视,线下同款,84
创维,70-75英寸,无效能等级,8k超高清(7680×4320),大屏,国产品牌,不选,不选,线上专供,83
小米,不选,三级效能,不选,全面屏,互联网品牌,3m-3.5m(56-65英寸),新品电视,线下同款,84
sony,不选,无效能等级,高清(1366×768),OLED,国产品牌,3m-3.5m(56-65英寸),京品电视,不选,84
不选,78英寸及以上,一级效能,全高清(1920×1080),人工智能,商业显示品牌,2.5m-3m(46-55英寸),不选,线上专供,84
创维,55英寸,二级效能,不选,大屏,不选,2m以下(≤32英寸),新品电视,不选,83
创维,58-60英寸,不选,全高清(1920×1080),全面屏,商业显示品牌,不选,新品电视,线下同款,83
小米,78英寸及以上,不选,4k超高清(3840×2160),全面屏,国产品牌,2m-2.5m(33-45英寸),不选,不选,81
不选,65英寸,不选,高清(1366×768),OLED,互联网品牌,2m-2.5m(33-45英寸),不选,线下同款,81
Hisense,58-60英寸,二级效能,高清(1366×768),全面屏,互联网品牌,3.5m以上(70英寸以上),不选,线上专供,83
创维,48-50英寸,不选,高清(1366×768),人工智能,不选,3m-3.5m(56-65英寸),京品电视,线上专供,83
sony,78英寸及以上,三级效能,不选,人工智能,互联网品牌,2m以下(≤32英寸),京品电视,不选,80
tcl,65英寸,无效能等级,不选,教育电视,商业显示品牌,不选,不选,线下同款,80
长虹,39-45英寸,一级效能,高清(1366×768),人工智能,合资品牌,2m以下(≤32英寸),新品电视,线下同款,84
konka,不选,一级效能,8k超高清(7680×4320),全面屏,国产品牌,2.5m-3m(46-55英寸),新品电视,不选,80
长虹,58-60英寸,三级效能,8k超高清(7680×4320),OLED,合资品牌,2.5m-3m(46-55英寸),不选,不选,82
长虹,39-45英寸,不选,不选,大屏,商业显示品牌,2m-2.5m(33-45英寸),京品电视,线上专供,83
小米,32英寸及以下,不选,全高清(1920×1080),教育电视,互联网品牌,2.5m-3m(46-55英寸),京品电视,不选,81
sony,55英寸,不选,全高清(1920×1080),大屏,合资品牌,不选,京品电视,线下同款,78
不选,48-50英寸,二级效能,不选,教育电视,合资品牌,2.5m-3m(46-55英寸),新品电视,线上专供,78
Hisense,58-60英寸,无效能等级,4k超高清(3840×2160),人工智能,商业显示品牌,不选,京品电视,不选,78
不选,32英寸及以下,三级效能,8k超高清(7680×4320),智慧屏,不选,2m-2.5m(33-45英寸),新品电视,线下同款,80
sony,55英寸,无效能等级,4k超高清(3840×2160),智慧屏,不选,2m以下(≤32英寸),不选,线上专供,81
tcl,70-75英寸,不选,8k超高清(7680×4320),智慧屏,商业显示品牌,3m-3.5m(56-65英寸),不选,不选,78
Hisense,不选,二级效能,不选,超薄,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线下同款,75
konka,48-50英寸,二级效能,全高清(1920×1080),OLED,不选,不选,不选,不选,77
小米,65英寸,不选,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,不选,78
haier,39-45英寸,无效能等级,全高清(1920×1080),全面屏,合资品牌,2m以下(≤32英寸),不选,不选,79
创维,不选,一级效能,全高清(1920×1080),不选,互联网品牌,2m以下(≤32英寸),京品电视,线上专供,78
不选,78英寸及以上,三级效能,高清(1366×768),不选,商业显示品牌,2.5m-3m(46-55英寸),京品电视,线下同款,72
Hisense,48-50英寸,不选,高清(1366×768),不选,国产品牌,不选,新品电视,线下同款,74
小米,不选,无效能等级,全高清(1920×1080),人工智能,不选,3.5m以上(70英寸以上),不选,线下同款,76
Hisense,32英寸及以下,一级效能,不选,智慧屏,国产品牌,3m-3.5m(56-65英寸),不选,线上专供,78
konka,39-45英寸,不选,4k超高清(3840×2160),不选,国产品牌,2m以下(≤32英寸),京品电视,线下同款,75
不选,70-75英寸,一级效能,4k超高清(3840×2160),大屏,互联网品牌,2m以下(≤32英寸),不选,不选,73
sony,不选,二级效能,8k超高清(7680×4320),4K超清,互联网品牌,2.5m-3m(46-55英寸),不选,线下同款,76
Hisense,不选,三级效能,8k超高清(7680×4320),大屏,不选,2.5m-3m(46-55英寸),京品电视,线上专供,73
tcl,不选,无效能等级,高清(1366×768),量子点,合资品牌,不选,新品电视,线上专供,77
创维,58-60英寸,三级效能,高清(1366×768),不选,互联网品牌,不选,新品电视,不选,66
小米,65英寸,二级效能,8k超高清(7680×4320),超薄,互联网品牌,不选,京品电视,不选,72
长虹,48-50英寸,无效能等级,8k超高清(7680×4320),不选,不选,3.5m以上(70英寸以上),京品电视,不选,73
不选,不选,一级效能,4k超高清(3840×2160),曲面,国产品牌,不选,新品电视,线下同款,64
创维,不选,不选,高清(1366×768),教育电视,合资品牌,2m-2.5m(33-45英寸),不选,不选,67
haier,70-75英寸,三级效能,全高清(1920×1080),不选,不选,3m-3.5m(56-65英寸),京品电视,线下同款,69
三星,32英寸及以下,一级效能,8k超高清(7680×4320),不选,商业显示品牌,2m-2.5m(33-45英寸),不选,不选,72
